C1,C2,C3,C4,L1,L2,L3,L4,x_value,y_value
114.88888888888889,75.16666666666667,27.11111111111111,16.11111111111111,16.666666666666668,16.22222222222222,66.61111111111111,121.94444444444444,-6.0,-6.0
117.41441441441441,84.90990990990991,20.82882882882883,15.027027027027026,19.423423423423422,24.83783783783784,66.36036036036036,115.01801801801801,-6.0,-4.0
122.37842190016103,78.82608695652173,23.43317230273752,16.63123993558776,24.85990338164251,49.148148148148145,70.4669887278583,83.02576489533011,-6.0,-2.0
120.99767981438515,77.70533642691416,23.647331786542924,15.424593967517401,36.13457076566125,59.167053364269144,67.8538283062645,59.733178654292345,-6.0,0.0
121.33333333333333,75.66666666666667,26.274509803921568,16.862745098039216,57.18627450980392,67.72549019607843,61.049019607843135,40.127450980392155,-6.0,2.0
126.33333333333333,77.94666666666667,23.30666666666667,14.573333333333334,75.02666666666667,72.73333333333333,52.08,28.36,-6.0,4.0
97.12307692307692,78.78461538461538,35.87692307692308,14.707692307692307,15.569230769230769,18.4,63.323076923076925,119.70769230769231,-4.0,-6.0
99.31291611185087,80.85219707057257,42.72569906790945,18.55659121171771,24.4780292942743,34.173102529960055,68.80292942743009,104.64713715046605,-4.0,-4.0
107.6829268292683,77.95934959349593,37.699186991869915,17.528455284552845,25.398373983739837,51.048780487804876,73.40650406504065,79.0569105691057,-4.0,-2.0
103.7338003502627,81.97197898423818,36.39579684763573,16.82661996497373,36.25394045534151,61.274956217162874,69.6059544658494,57.418563922942205,-4.0,0.0
109.60759493670886,80.68987341772151,36.01898734177215,18.841772151898734,62.18354430379747,69.09493670886076,60.00632911392405,39.949367088607595,-4.0,2.0
109.94890510948905,79.44525547445255,37.76642335766423,18.970802919708028,80.84671532846716,74.52554744525547,50.802919708029194,27.708029197080293,-4.0,4.0
73.56279069767442,78.1906976744186,52.87906976744186,22.865116279069767,15.632558139534884,18.73488372093023,67.22790697674418,118.35348837209303,-2.0,-6.0
77.3529411764706,79.52287581699346,56.15686274509804,28.176470588235293,21.058823529411764,32.84313725490196,75.62091503267973,101.99346405228758,-2.0,-4.0
81.48264058679706,75.89535452322738,54.94180929095354,27.65770171149144,24.33643031784841,48.931051344743274,74.99266503667482,81.46552567237164,-2.0,-2.0
78.94442550289806,80.89703375383566,55.74019774974429,26.22707125809751,37.32424139106717,64.35935901807024,70.4272076372315,60.124105011933175,-2.0,0.0
85.31013776050865,80.83716001412928,53.04733309784528,25.752031084422466,58.82832921229247,70.46591310490993,63.27163546450018,41.584245849523136,-2.0,2.0
84.7363184079602,79.8955223880597,56.014925373134325,27.895522388059703,81.53731343283582,77.60696517412936,51.482587064676615,26.53233830845771,-2.0,4.0
52.935222672064775,68.65991902834008,59.28744939271255,44.979757085020246,16.939271255060728,19.481781376518217,65.86234817813765,118.17813765182186,0.0,-6.0
54.409937888198755,66.73913043478261,61.24223602484472,41.49689440993789,17.111801242236027,29.0,71.73913043478261,100.1304347826087,0.0,-4.0
60.64968421052632,68.74778947368421,60.765052631578946,42.75494736842105,21.54442105263158,51.09515789473684,73.96336842105264,79.30694736842105,0.0,-2.0
57.00229885057471,71.7816091954023,62.94942528735632,40.754022988505746,36.144827586206894,63.51034482758621,69.97011494252874,56.777011494252875,0.0,0.0
62.43965283428261,72.99945755356659,63.69894222945484,40.59804719283971,59.894765391917545,72.6159479251424,62.15812313534038,36.80607540005425,0.0,2.0
62.568044077134985,75.01267217630854,62.79118457300275,43.75757575757576,79.01983471074381,79.58457300275482,49.21652892561983,27.314600550964187,0.0,4.0
37.62544169611307,53.420494699646646,62.851590106007066,62.409893992932865,16.607773851590107,19.03886925795053,66.7173144876325,110.90459363957598,2.0,-6.0
37.06395348837209,56.604651162790695,68.43604651162791,66.88372093023256,20.16860465116279,32.05232558139535,71.16279069767442,101.88953488372093,2.0,-4.0
41.10820895522388,61.059701492537314,70.65298507462687,65.14179104477611,25.167910447761194,53.91417910447761,75.57089552238806,78.66417910447761,2.0,-2.0
39.776923076923076,63.62307692307692,70.6,61.07948717948718,39.0025641025641,64.92564102564103,69.24102564102564,56.90769230769231,2.0,0.0
38.70933333333333,61.88177777777778,71.27466666666666,61.16266666666667,60.20622222222222,70.90488888888889,60.44,35.25333333333333,2.0,2.0
42.89108910891089,65.0049504950495,69.88118811881188,61.9009900990099,77.6980198019802,76.51980198019803,53.801980198019805,24.747524752475247,2.0,4.0
27.0188679245283,38.515723270440255,69.77987421383648,86.67295597484276,19.69811320754717,18.77358490566038,63.471698113207545,117.33333333333333,4.0,-6.0
29.27777777777778,46.12222222222222,68.58888888888889,84.5111111111111,21.477777777777778,34.333333333333336,72.24444444444444,99.03333333333333,4.0,-4.0
29.821596244131456,47.63067292644757,74.4491392801252,85.42097026604068,27.49921752738654,52.9452269170579,75.23317683881064,78.66353677621284,4.0,-2.0
26.558823529411764,43.1078431372549,76.78921568627452,87.90686274509804,38.205882352941174,64.07352941176471,72.27450980392157,55.970588235294116,4.0,0.0
27.727486296006266,47.14956930305403,77.15191855912295,78.83946750195771,60.209866875489425,70.83946750195771,58.80657791699295,35.80266249021143,4.0,2.0
28.926454445664106,47.51701427003293,72.26564215148188,87.05708013172338,87.48298572996707,74.92755214050494,46.36114160263447,22.464324917672887,4.0,4.0
26.597014925373134,26.970149253731343,64.1044776119403,107.38805970149254,22.776119402985074,21.791044776119403,62.59701492537314,115.76119402985074,6.0,-6.0
28.05037783375315,27.8992443324937,66.76826196473552,102.60201511335012,24.544080604534006,31.435768261964736,66.18136020151134,100.38287153652394,6.0,-4.0
30.546929316338353,26.73117033603708,69.60486674391657,101.90961761297798,26.330243337195828,48.46349942062572,74.4380069524913,77.0,6.0,-2.0
23.05952380952381,27.25,74.33333333333333,100.1547619047619,39.05952380952381,61.095238095238095,71.01190476190476,51.17857142857143,6.0,0.0
22.7103825136612,29.153005464480874,69.84699453551913,97.56830601092896,63.79234972677595,67.45901639344262,52.612021857923494,29.53551912568306,6.0,2.0
28.027027027027028,28.386100386100384,66.87258687258688,101.996138996139,84.58687258687259,69.70270270270271,42.826254826254825,24.972972972972972,6.0,4.0
